CK,11,80,2012-6-30 10:20:03,admin
CK,11,80,2012-6-30 10:20:19,admin
CK,11,80,2012-6-30 10:20:23,admin
CK,11,80,2012-6-30 10:20:27,admin
CK,193524,70,2012-7-16 17:28:19,admin
CK,193524,5,2012-7-16 17:28:25,admin
CK,193525,40,2012-7-16 17:28:31,admin
CK,193526,50,2012-7-16 17:28:38,admin
CK,193527,10,2012-7-16 17:28:44,admin
CK,193527,20,2012-7-16 17:28:48,admin
CK,193528,80,2012-7-16 17:28:54,admin
CK,193529,90,2012-7-16 17:28:59,admin
CK,193530,30,2012-7-16 17:29:04,admin
CK,193530,40,2012-7-16 17:29:09,admin
CK,193531,100,2012-7-16 17:29:13,admin
CK,193532,5,2012-7-16 17:29:18,admin
CK,193532,60,2012-7-16 17:29:22,admin
CK,193533,150,2012-7-16 17:29:28,admin
CK,193534,20,2012-7-16 17:29:33,admin
CK,193535,60,2012-7-16 17:29:38,admin
CK,193535,90,2012-7-16 17:29:42,admin
QK,193535,5,2012-7-16 17:29:52,admin
QK,193534,30,2012-7-16 17:30:05,admin
QK,193533,20,2012-7-16 17:30:12,admin
QK,193532,10,2012-7-16 17:30:19,admin
QK,193531,50,2012-7-16 17:30:26,admin
QK,193530,30,2012-7-16 17:30:34,admin
QK,193529,5,2012-7-16 17:30:42,admin
QK,193528,90,2012-7-16 17:30:50,admin
QK,193526,20,2012-7-16 17:30:56,admin
QK,193525,10,2012-7-16 17:31:04,admin
QK,193527,5,2012-7-16 17:31:33,admin
CK,193527,1000,2012-7-16 17:31:41,admin
QK,193527,100,2012-7-16 17:31:47,admin
CK,1,5,2012-07-16 18:24:34,admin
CK,1,40,2012-07-16 18:24:39,admin
CK,2,50,2012-07-16 18:24:48,admin
CK,3,90,2012-07-16 18:24:54,admin
CK,4,80,2012-07-16 18:25:00,admin
CK,5,100,2012-07-16 18:25:07,admin
CK,6,200,2012-07-16 18:25:13,admin
CK,7,30,2012-07-16 18:25:20,admin
CK,7,60,2012-07-16 18:25:25,admin
CK,7,5,2012-07-16 18:25:29,admin
CK,8,90,2012-07-16 18:25:36,admin
CK,8,150,2012-07-16 18:25:40,admin
CK,9,100,2012-07-16 18:25:46,admin
CK,10,150,2012-07-16 18:25:54,admin
QK,10,5,2012-07-16 18:26:05,admin
QK,9,10,2012-07-16 18:26:22,admin
QK,8,20,2012-07-16 18:26:30,admin
CK,1,20,2013-03-30 10:00:36,admin
CK,1,5,2013-03-30 11:07:36,admin
CK,1,5,2013-03-30 11:08:34,admin
CK,1,5,2014-02-22 09:30:58,admin
CK,1,10,2014-02-22 09:31:01,admin
CK,2,40,2014-03-10 12:39:34,admin
QK,2,40,2014-03-10 12:39:45,admin
